Time,LeftVelocityCommand,RightVelocityCommand,LeftActualVelocity,RightActualVelocity,LeftLeadAppliedOutput,LeftFollowAppliedOutput,RightLeadAppliedOutput,RightFollowAppliedOutput,LeftLeadVoltage,LeftFollowVoltage,RightLeadVoltage,RightFollowVoltage,LeftLeadCurrent,LeftFollowCurrent,RightLeadCurrent,RightFollowCurrent
0.000364,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.093750,11.828125,11.875000,11.906250,0.000000,0.000000,0.000000,0.000000,
0.020245,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.093750,11.835938,11.875000,11.906250,0.000000,0.000000,0.000000,0.000000,
0.039998,-0.037510,0.037510,0.000000,0.000000,-0.007477,-0.007477,0.007477,0.000000,12.078125,11.835938,11.867188,11.906250,0.031250,0.000000,0.000000,0.000000,
0.059987,-0.037510,0.037510,0.000000,0.000000,-0.007477,-0.007477,0.007477,0.007477,12.078125,11.828125,11.867188,11.890625,0.031250,0.000000,0.000000,0.000000,
0.080083,-0.037510,0.037510,0.000000,0.000000,-0.007477,-0.007477,0.007477,0.007477,12.078125,11.835938,11.867188,11.898438,0.000000,0.000000,0.000000,0.000000,
0.100026,-0.037510,0.037510,0.000000,0.000000,-0.007477,-0.007477,0.007477,0.007477,12.078125,11.828125,11.867188,11.898438,0.031250,0.000000,0.031250,0.000000,
0.120099,-0.037510,0.037510,0.000000,0.000000,-0.007477,-0.007477,0.007477,0.007477,12.078125,11.828125,11.875000,11.898438,0.031250,0.000000,0.031250,0.000000,
0.140557,-0.025110,0.025110,0.000000,0.000000,-0.005005,-0.005005,0.005005,0.007477,12.078125,11.828125,11.875000,11.898438,0.093750,0.093750,0.093750,0.031250,
0.160251,-0.025110,0.025110,0.000000,0.000000,-0.005005,-0.005005,0.005005,0.005005,12.078125,11.835938,11.875000,11.890625,0.125000,0.093750,0.125000,0.125000,
0.180043,-0.025110,0.025110,0.000000,0.000000,-0.005005,-0.005005,0.005005,0.005005,12.078125,11.835938,11.875000,11.898438,0.125000,0.093750,0.156250,0.125000,
0.200015,-0.025110,0.025110,0.000000,0.000000,-0.005005,-0.005005,0.005005,0.005005,12.078125,11.828125,11.867188,11.890625,0.125000,0.093750,0.125000,0.156250,
0.220066,-0.025110,0.025110,0.000000,0.000000,-0.005005,-0.005005,0.005005,0.005005,12.078125,11.828125,11.875000,11.898438,0.093750,0.093750,0.125000,0.125000,
0.239975,-0.025110,0.025110,0.000000,0.000000,-0.005005,-0.005005,0.005005,0.005005,12.078125,11.828125,11.867188,11.898438,0.125000,0.093750,0.125000,0.156250,
0.260357,-0.025110,0.025110,0.000000,0.000000,-0.005005,-0.005005,0.005005,0.005005,12.078125,11.835938,11.875000,11.898438,0.125000,0.093750,0.156250,0.156250,
0.280016,-0.019840,0.019840,0.000000,0.000000,-0.005005,-0.005005,0.005005,0.005005,12.078125,11.835938,11.875000,11.906250,0.125000,0.062500,0.125000,0.156250,
0.300031,0.000000,-0.000000,0.000000,0.000000,-0.003967,-0.003967,0.003967,0.005005,12.078125,11.828125,11.875000,11.906250,0.187500,0.125000,0.125000,0.125000,
0.320083,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003967,12.093750,11.843750,11.875000,11.898438,0.000000,0.000000,0.000000,0.156250,
0.340453,0.019531,-0.019531,0.000000,0.000000,0.003876,0.003876,-0.003876,-0.003876,12.085938,11.835938,11.867188,11.906250,0.187500,0.125000,0.125000,0.000000,
0.360097,0.019531,-0.019531,0.000000,0.000000,0.003876,0.003876,-0.003876,-0.003876,12.085938,11.835938,11.867188,11.898438,0.156250,0.125000,0.125000,0.156250,
0.380004,0.019531,-0.019531,0.000000,0.000000,0.003876,0.003876,-0.003876,-0.003876,12.078125,11.835938,11.867188,11.898438,0.187500,0.156250,0.125000,0.156250,
0.400027,0.019531,-0.019531,0.000000,0.000000,0.003876,0.003876,-0.003876,-0.003876,12.085938,11.835938,11.867188,11.906250,0.187500,0.125000,0.125000,0.187500,
0.420071,0.019531,-0.019531,0.000000,0.000000,0.003876,0.003876,-0.003876,-0.003876,12.085938,11.828125,11.875000,11.898438,0.187500,0.125000,0.125000,0.187500,
0.440357,0.019531,-0.019531,0.000000,0.000000,0.003876,0.003876,-0.003876,-0.003876,12.085938,11.843750,11.875000,11.906250,0.156250,0.125000,0.125000,0.156250,
0.459970,0.019531,-0.019531,0.000000,0.000000,0.003876,0.003876,-0.003876,-0.003876,12.085938,11.835938,11.875000,11.890625,0.187500,0.125000,0.125000,0.187500,
0.480005,0.019531,-0.019531,0.000000,0.000000,0.003876,0.003876,-0.003876,-0.003876,12.078125,11.828125,11.867188,11.898438,0.187500,0.125000,0.125000,0.187500,
0.500066,0.019531,-0.019531,0.000000,0.000000,0.003876,0.003876,-0.003876,-0.003876,12.085938,11.828125,11.867188,11.898438,0.156250,0.125000,0.125000,0.156250,
0.520206,0.019531,-0.019531,0.000000,0.000000,0.003876,0.003876,-0.003876,-0.003876,12.085938,11.828125,11.867188,11.882812,0.156250,0.125000,0.125000,0.187500,
0.539987,0.019531,-0.019531,0.000000,0.000000,0.003876,0.003876,-0.003876,-0.003876,12.085938,11.828125,11.859375,11.898438,0.156250,0.125000,0.125000,0.156250,
0.560047,0.019531,-0.019531,0.000000,0.000000,0.003876,0.003876,-0.003876,-0.003876,12.085938,11.828125,11.867188,11.898438,0.156250,0.125000,0.125000,0.187500,
0.580051,0.019531,-0.019531,0.000000,0.000000,0.003876,0.003876,-0.003876,-0.003876,12.085938,11.835938,11.867188,11.898438,0.187500,0.125000,0.125000,0.187500,
0.600174,0.019531,-0.019531,0.000000,0.000000,0.003876,0.003876,-0.003876,-0.003876,12.078125,11.828125,11.875000,11.898438,0.187500,0.125000,0.125000,0.187500,
0.620272,0.019531,-0.019531,0.000000,0.000000,0.003876,0.003876,-0.003876,-0.003876,12.085938,11.828125,11.875000,11.898438,0.187500,0.125000,0.125000,0.156250,
0.640380,0.019531,-0.019531,0.000000,0.000000,0.003876,0.003876,-0.003876,-0.003876,12.085938,11.828125,11.867188,11.898438,0.187500,0.125000,0.125000,0.187500,
0.660078,0.019531,-0.019531,0.000000,0.000000,0.003876,0.003876,-0.003876,-0.003876,12.085938,11.828125,11.867188,11.890625,0.156250,0.125000,0.125000,0.187500,
0.680050,0.019531,-0.019531,0.000000,0.000000,0.003876,0.003876,-0.003876,-0.003876,12.085938,11.835938,11.875000,11.898438,0.187500,0.125000,0.125000,0.187500,
0.700187,0.030518,-0.030518,0.000000,0.000000,0.003876,0.003876,-0.003876,-0.003876,12.085938,11.828125,11.867188,11.898438,0.156250,0.125000,0.125000,0.187500,
0.720078,0.030518,-0.030518,0.000000,0.000000,0.006073,0.006073,-0.006073,-0.003876,12.085938,11.828125,11.867188,11.898438,0.125000,0.062500,0.062500,0.156250,
0.740165,0.030518,-0.030518,0.000000,0.000000,0.006073,0.006073,-0.006073,-0.006073,12.078125,11.828125,11.867188,11.898438,0.093750,0.062500,0.062500,0.093750,
0.759974,0.030518,-0.030518,0.000000,0.000000,0.006073,0.006073,-0.006073,-0.006073,12.093750,11.828125,11.867188,11.898438,0.125000,0.093750,0.062500,0.062500,
0.780017,0.030518,-0.030518,0.000000,0.000000,0.006073,0.006073,-0.006073,-0.006073,12.085938,11.828125,11.875000,11.898438,0.125000,0.062500,0.062500,0.062500,
0.800073,0.030518,-0.030518,0.000000,0.000000,0.006073,0.006073,-0.006073,-0.006073,12.078125,11.828125,11.875000,11.898438,0.125000,0.062500,0.062500,0.093750,
0.820034,0.030518,-0.030518,0.000000,0.000000,0.006073,0.006073,-0.006073,-0.006073,12.085938,11.828125,11.867188,11.898438,0.125000,0.093750,0.062500,0.062500,
0.840035,0.030518,-0.030518,0.000000,0.000000,0.006073,0.006073,-0.006073,-0.006073,12.093750,11.835938,11.867188,11.898438,0.125000,0.062500,0.062500,0.093750,
0.860443,0.030518,-0.030518,0.000000,0.000000,0.006073,0.006073,-0.006073,-0.006073,12.085938,11.828125,11.867188,11.898438,0.125000,0.062500,0.062500,0.093750,
0.880072,0.030518,-0.030518,0.000000,0.000000,0.006073,0.006073,-0.006073,-0.006073,12.085938,11.828125,11.875000,11.914062,0.125000,0.125000,0.062500,0.093750,
